X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
39.55,-3.73,0.0,20.0,0.0,KE-SOTER,Eastern Africa,Africa,Unknown
-83.66527778,9.9,0.0,20.0,0.1,LAC-SOTER,Central America,Northern America,1991
-71.6666641,8.6166668,0.0,20.0,0.8,US-NCSS,South America,South America,1983
-99.3232498,38.9378433,0.0,20.0,0.8,US-NCSS,Northern America,Northern America,Unknown
139.3276317,-32.96412312,0.0,20.0,0.3,AU-CSIRO,Australia and New Zealand,Oceania,1992
138.4722614,-35.59618171,25.0,45.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,1992
-114.6180573,47.4583321,0.0,20.0,4.0,US-NCSS,Northern America,Northern America,1988
-113.1806333,27.86745696,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2005
-113.0912108,31.95603348,0.0,20.0,0.2,MX-INEGI,Central America,Northern America,2002
32.19584,-26.16528,0.0,20.0,0.6,SAF-SOTER,Eastern Africa,Africa,1961
35.15,-2.133333,0.0,20.0,0.4,AF-AfSP,Eastern Africa,Africa,1975
106.9,-6.7,0.0,20.0,0.2,WD-WISE,South-Eastern Asia,Asia,1987
-76.16972222,20.32972222,25.0,45.0,0.1,CU-SOTER,Caribbean,Northern America,1991
-74.64777778,-15.45583333,0.0,20.0,9.0,LAC-SOTER,South America,South America,Unknown
-102.7056409,27.25337298,0.0,20.0,0.2,MX-INEGI,Central America,Northern America,2005
-116.5473633,43.8379288,0.0,20.0,2.3,US-NCSS,Northern America,Northern America,1957
-100.2954714,46.0727478,0.0,20.0,0.5,US-NCSS,Northern America,Northern America,Unknown
34.979162,-2.893646,0.0,20.0,0.4,AF-AfSP,Eastern Africa,Africa,1973
-75.8266678,37.5888824,0.0,20.0,60.0,US-NCSS,Northern America,Northern America,2009
17.93810081,-19.57360077,0.0,20.0,5.5,NA-NAMSOTER,Southern Africa,Africa,Unknown
-107.2858797,28.88804249,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1990
-100.2880713,26.07201693,0.0,20.0,0.6,MX-INEGI,Central America,Northern America,2005
-98.8580945,18.10567676,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-109.65715,29.73412039,20.0,60.0,0.1,MX-INEGI,Central America,Northern America,2000
-101.0092798,20.19921987,0.0,20.0,5.5,MX-INEGI,Central America,Northern America,1971
-80.3,-4.383333333,0.0,20.0,0.4,WD-WISE,South America,South America,1973
128.89384,-15.427799,0.0,20.0,0.2,AU-CSIRO,Australia and New Zealand,Oceania,2010
-113.4633768,28.1047316,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-106.3419272,30.62156604,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2002
-106.1717049,23.5648783,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-121.7852783,37.6255569,0.0,20.0,0.4,US-NCSS,Northern America,Northern America,1959
-120.0129157,36.5505023,0.0,20.0,2.1,US-NCSS,Northern America,Northern America,1994
-100.7632607,19.54386175,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2003
-109.1248985,28.66173721,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2005
